date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:09:20	101023/101023	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:20%20GMT	https://www.benjerry.com/flavors	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/flavors.html	(from https://www.benjerry.com/about-us)
00:09:20	129548/129548	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:20%20GMT	https://www.benjerry.com/flavors/non-dairy	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/flavors/non-dairy.html	(from https://www.benjerry.com/about-us)
00:09:21	122799/122799	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:21%20GMT	https://www.benjerry.com/flavors/moophoria	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/flavors/moophoria.html	(from https://www.benjerry.com/about-us)
00:09:21	116888/116888	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:21%20GMT	https://www.benjerry.com/flavors/ice-cream-novelties	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/flavors/ice-cream-novelties.html	(from https://www.benjerry.com/about-us)
00:09:21	109807/109807	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:21%20GMT	https://www.benjerry.com/flavors/special-stash	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/flavors/special-stash.html	(from https://www.benjerry.com/about-us)
00:09:21	109702/109702	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:21%20GMT	https://www.benjerry.com/flavors/new-flavors	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/flavors/new-flavors.html	(from https://www.benjerry.com/about-us)
00:09:22	72580/72580	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:22%20GMT	https://www.benjerry.com/flavors/dough-time	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/flavors/dough-time.html	(from https://www.benjerry.com/about-us)
00:09:22	125718/125718	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:22%20GMT	https://www.benjerry.com/flavors/recipes	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/flavors/recipes.html	(from https://www.benjerry.com/about-us)
00:09:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Oct%202018%2007:09:22%20GMT	http://www.benjerry.com/ice-cream-near-me?tab=store	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/ice-cream-near-me.21e7d6.delayed	(from https://www.benjerry.com/about-us)
00:09:23	140155/140155	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:23%20GMT	https://www.benjerry.com/ice-cream-near-me?tab=store	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/ice-cream-near-mee7d6.html	(from https://www.benjerry.com/about-us)
00:09:23	118157/118157	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:23%20GMT	https://www.benjerry.com/flavors/how-we-make-ice-cream	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/flavors/how-we-make-ice-cream.html	(from https://www.benjerry.com/about-us)
00:09:25	78755/78755	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:25%20GMT	https://www.benjerry.com/flavors/flavor-gurus	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/flavors/flavor-gurus.html	(from https://www.benjerry.com/about-us)
00:09:25	102848/102848	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:25%20GMT	https://www.benjerry.com/flavors/flavor-graveyard	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/flavors/flavor-graveyard.html	(from https://www.benjerry.com/about-us)
00:09:25	95338/95338	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:25%20GMT	https://www.benjerry.com/scoop-shops	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/scoop-shops.html	(from https://www.benjerry.com/about-us)
00:09:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Oct%202018%2007:09:25%20GMT	http://www.benjerry.com/ice-cream-near-me?tab=shop	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/ice-cream-near-me5205	(from https://www.benjerry.com/about-us)
00:09:26	140129/140129	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:26%20GMT	https://www.benjerry.com/ice-cream-near-me?tab=shop	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/ice-cream-near-me5205.html	(from https://www.benjerry.com/about-us)
00:09:26	75652/75652	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:26%20GMT	https://www.benjerry.com/scoop-shops/catering	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/scoop-shops/catering.html	(from https://www.benjerry.com/about-us)
00:09:26	76477/76477	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:26%20GMT	https://www.benjerry.com/scoop-shops/cakes	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/scoop-shops/cakes.html	(from https://www.benjerry.com/about-us)
00:09:27	83370/83370	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:27%20GMT	https://www.benjerry.com/scoop-shops/franchise	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/scoop-shops/franchise.html	(from https://www.benjerry.com/about-us)
00:09:27	72916/72916	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:27%20GMT	https://www.benjerry.com/scoop-shops/free-cone-day	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/scoop-shops/free-cone-day.html	(from https://www.benjerry.com/about-us)
00:09:27	83899/83899	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:27%20GMT	https://www.benjerry.com/values	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/values.html	(from https://www.benjerry.com/about-us)
00:09:28	72978/72978	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:28%20GMT	https://www.benjerry.com/values/how-we-do-business	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/values/how-we-do-business.html	(from https://www.benjerry.com/about-us)
00:09:28	73266/73266	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:28%20GMT	https://www.benjerry.com/values/issues-we-care-about	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/values/issues-we-care-about.html	(from https://www.benjerry.com/about-us)
00:09:28	131117/131117	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:28%20GMT	https://www.benjerry.com/about-us/how-were-structured	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/about-us/how-were-structured.html	(from https://www.benjerry.com/about-us)
00:09:28	94476/94476	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:28%20GMT	https://www.benjerry.com/about-us/factory-tours	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/about-us/factory-tours.html	(from https://www.benjerry.com/about-us)
00:09:28	67684/67684	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:28%20GMT	https://www.benjerry.com/about-us/b-corp	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/about-us/b-corp.html	(from https://www.benjerry.com/about-us)
00:09:29	66016/66016	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:29%20GMT	https://www.benjerry.com/about-us/sear-reports	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/about-us/sear-reports.html	(from https://www.benjerry.com/about-us)
00:09:29	85160/85160	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:29%20GMT	https://www.benjerry.com/about-us/our-k9-5ers	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/about-us/our-k9-5ers.html	(from https://www.benjerry.com/about-us)
00:09:29	116901/116901	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:29%20GMT	https://www.benjerry.com/whats-new	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/whats-new.html	(from https://www.benjerry.com/about-us)
00:09:29	140143/140143	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:29%20GMT	https://www.benjerry.com/ice-cream-near-me?tab=delivery	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/ice-cream-near-me4851.html	(from https://www.benjerry.com/about-us)
00:09:29	140122/140122	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:29%20GMT	https://www.benjerry.com/ice-cream-near-me?tab=catering	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/ice-cream-near-me9c41.html	(from https://www.benjerry.com/about-us)
00:09:31	113072/113072	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:30%20GMT	https://www.benjerry.com/ice-cream-near-me/doughlivery	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/ice-cream-near-me/doughlivery.html	(from https://www.benjerry.com/about-us)
00:09:34	16569/16569	---M--	200	added ('OK')	image/jpeg	etag:%22216812b7-573a-4151-94e8-a07bdd71b914-1391290339897%22	https://www.benjerry.com/files/live/sites/systemsite/files/about-us/1979.jpg	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/files/live/sites/systemsite/files/about-us/1979.jpg	(from https://www.benjerry.com/about-us)
00:09:34	16261/16261	---M--	200	added ('OK')	image/jpeg	etag:%22e7f45c69-18f4-4f7f-8db7-29baf872627d-1391290339897%22	https://www.benjerry.com/files/live/sites/systemsite/files/about-us/1980.jpg	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/files/live/sites/systemsite/files/about-us/1980.jpg	(from https://www.benjerry.com/about-us)
00:09:34	24684/24684	---M--	200	added ('OK')	image/png	etag:%2257ec47b1-c057-4906-af3e-6fcce62d4522-1391290339897%22	https://www.benjerry.com/files/live/sites/systemsite/files/about-us/1978.png	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/files/live/sites/systemsite/files/about-us/1978.png	(from https://www.benjerry.com/about-us)
00:09:37	358579/358579	---M-Z	200	added ('OK')	application/javascript	etag:%225bc61e0b-578b3%22	http://s7.addthis.com/js/300/addthis_widget.js	/home/vidur/websites/Ben%20and%20Jerry's/s7.addthis.com/js/300/addthis_widget.js	(from https://www.benjerry.com/about-us)
00:09:37	11329/11329	---M--	200	added ('OK')	image/png	etag:%220fa9fe26-4804-416f-8f30-85303103e847-1391290339897%22	https://www.benjerry.com/files/live/sites/systemsite/files/about-us/1981.png	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/files/live/sites/systemsite/files/about-us/1981.png	(from https://www.benjerry.com/about-us)
00:09:37	20776/20776	---M--	200	added ('OK')	image/jpeg	etag:%22be9dfe43-ac00-47f8-a41b-54bc7b6fa3cf-1391290339897%22	https://www.benjerry.com/files/live/sites/systemsite/files/about-us/1982.jpg	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/files/live/sites/systemsite/files/about-us/1982.jpg	(from https://www.benjerry.com/about-us)
00:09:38	13714/13714	---M--	200	added ('OK')	image/png	etag:%2239fad2a8-f5b3-4938-85ae-e2147be34291-1391290339897%22	https://www.benjerry.com/files/live/sites/systemsite/files/about-us/1983.png	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/files/live/sites/systemsite/files/about-us/1983.png	(from https://www.benjerry.com/about-us)
00:09:38	11332/11332	---M--	200	added ('OK')	image/png	etag:%227136f50e-29cf-4af8-bf58-e592980adb87-1391290339897%22	https://www.benjerry.com/files/live/sites/systemsite/files/about-us/1984.png	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/files/live/sites/systemsite/files/about-us/1984.png	(from https://www.benjerry.com/about-us)
00:09:38	8469/8469	---M--	200	added ('OK')	image/png	etag:%2298038462-d20e-4172-90c9-778a91f9986f-1391290339897%22	https://www.benjerry.com/files/live/sites/systemsite/files/about-us/1985.png	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/files/live/sites/systemsite/files/about-us/1985.png	(from https://www.benjerry.com/about-us)
00:09:38	15438/15438	---M--	200	added ('OK')	image/jpeg	etag:%22d517f15f-77c2-4504-ac1f-556ecbcde964-1391290339897%22	https://www.benjerry.com/files/live/sites/systemsite/files/about-us/1986.jpg	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/files/live/sites/systemsite/files/about-us/1986.jpg	(from https://www.benjerry.com/about-us)
00:09:38	28942/28942	---M--	200	added ('OK')	image/png	etag:%2250f78465-a18d-45bf-81fe-b33522ee7b63-1391290339897%22	https://www.benjerry.com/files/live/sites/systemsite/files/about-us/1987.png	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/files/live/sites/systemsite/files/about-us/1987.png	(from https://www.benjerry.com/about-us)
